"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"5713";"PUMA CA MATCH";"Puma";"Mujer";"";"95000";"0";"36";"IMG-20260320-WA0899.jpg";"";"0";"";"SUMBAWA"
"5714";"HUGO BOSS";"Hugo Boss";"Hombre";"";"105000";"0";"40";"IMG-20260330-WA0496.jpg";"";"0";"";"SUMBAWA"
"5715";"DOLCE GABBANA";"";"Hombre";"";"100000";"0";"40";"IMG-20260330-WA0497.jpg";"";"0";"";"SUMBAWA"
"5716";"DOLCE GABBANA";"";"Hombre";"";"100000";"0";"40";"IMG-20260330-WA0498.jpg";"";"0";"";"SUMBAWA"
"5717";"DOLCE GABBANA";"";"Mujer";"";"100000";"0";"36";"IMG-20260330-WA0499.jpg";"";"0";"";"SUMBAWA"
"5718";"SPER STAR NEGRA";"";"Hombre";"";"90000";"0";"40";"IMG-20260330-WA0500.jpg";"";"0";"";"SUMBAWA"
"5719";"ADIDAS BOUNCE V2";"Adidas";"Mujer";"";"100000";"0";"40";"IMG-20260330-WA0501.jpg";"";"0";"";"SUMBAWA"
"5720";"PUMA SUEDE XL";"Puma";"Mujer";"";"95000";"0";"36";"IMG-20260330-WA0502.jpg";"";"0";"";"SUMBAWA"
"5721";"ADIDAS GORE TEX";"Adidas";"Hombre";"";"105000";"0";"40";"IMG-20260317-WA0018.jpg";"";"0";"";"SUMBAWA"
"5722";"NIKE TN PLUS";"Nike";"Hombre";"";"105000";"0";"40";"IMG-20260320-WA0909.jpg";"";"0";"";"SUMBAWA"
"5723";"NIKE COMMAND";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0668.jpg";"";"0";"";"SUMBAWA"
"5724";"NIKE INTERNACIONAL";"Nike";"Hombre";"";"90000";"0";"40";"IMG-20260330-WA0669.jpg";"";"0";"";"SUMBAWA"
"5725";"SUPER STAR";"";"Hombre";"";"95000";"0";"40";"IMG-20260318-WA0665.jpg";"";"0";"";"SUMBAWA"
"5726";"NIKE VOMERO";"Nike";"Hombre";"";"100000";"0";"40";"IMG-20260330-WA0670.jpg";"";"0";"";"SUMBAWA"
"5727";"NIKE JUNIPER";"Nike";"Hombre";"";"100000";"0";"40";"IMG-20260214-WA0180.jpg";"";"0";"";"SUMBAWA"
"5728";"TOMMY HILFIGER - HOMBRE";"Tommy Hilfiger";"Hombre";"";"0";"0";"40,42,43";"IMG-20260330-WA0741.jpg";"";"0";"";"Cali Pedidos"
"5729";"ON CLOUD - HOMBRE";"On";"Hombre";"";"0";"0";"41";"IMG-20260330-WA0742.jpg";"";"0";"";"Cali Pedidos"
"5730";"LOUIS VUITTON SKATE - DAMA y HOMBRE";"Nike";"Mujer";"";"0";"0";"36,37,39,40,41,42,44";"IMG-20260330-WA0743.jpg";"";"0";"";"Cali Pedidos"
"5731";"NIKE P-6000 - DAMA";"Nike";"Mujer";"";"0";"0";"6000";"IMG-20260330-WA0744.jpg";"";"0";"";"Cali Pedidos"
"5732";"NIKE SKATE - DAMA";"Nike";"Mujer";"";"0";"0";"36";"IMG-20260330-WA0745.jpg";"";"0";"";"Cali Pedidos"
"5733";"SKECHERS - DAMA";"Skechers";"Mujer";"";"0";"0";"36";"IMG-20260330-WA0746.jpg";"";"0";"";"Cali Pedidos"
"5734";"LECOQ SPORTIF - DAMA";"";"Mujer";"";"0";"0";"36";"IMG-20260330-WA0747.jpg";"";"0";"";"Cali Pedidos"
"5735";"ADIDAS MCLAREN - HOMBRE";"Adidas";"Hombre";"";"0";"0";"41,42,43";"IMG-20260228-WA0557.jpg";"";"0";"";"Cali Pedidos"
"5736";"REEBOK CLASSIC - HOMBRE";"Reebok";"Hombre";"";"0";"0";"42";"IMG-20260317-WA0172.jpg";"";"0";"";"Cali Pedidos"
"5737";"ADIDAS CAMPUS - DAMA y HOMBRE";"Adidas";"Mujer";"";"0";"0";"36-44";"IMG-20260330-WA0769.jpg";"";"0";"";"Cali Pedidos"
"5738";"Nike Vapor";"Nike";"Mujer";"";"85000";"0";"5";"IMG-20260330-WA0770.jpg";"";"0";"";"Cali Pedidos"
"5739";"Nike Vapor";"Nike";"Mujer";"";"85000";"0";"5";"IMG-20260330-WA0771.jpg";"";"0";"";"Cali Pedidos"
"5740";"Nike Vapor";"Nike";"Mujer";"";"85000";"0";"5";"IMG-20260330-WA0772.jpg";"";"0";"";"Cali Pedidos"
"5741";"Nike Vapor";"Nike";"Mujer";"";"85000";"0";"5";"IMG-20260330-WA0773.jpg";"";"0";"";"Cali Pedidos"
"5742";"Jordan Travist";"Nike";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0774.jpg";"";"0";"";"Cali Pedidos"
