"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"28064";"NEW BALANCE 9060 DAMA $100.000";"";"Mujer";"";"100000";"0";"202";"IMG-20260612-WA1756.jpg";"";"0";"";"Cali Pedidos"
"28065";"NIKE AIR MAX PULSE HOMBRE $95.000";"";"Hombre";"";"95000";"0";"160";"IMG-20260612-WA1757.jpg";"";"0";"";"Cali Pedidos"
"28066";"NIKE AIR MAX PULSE HOMBRE $95.000";"";"Hombre";"";"95000";"0";"159";"IMG-20260612-WA1758.jpg";"";"0";"";"Cali Pedidos"
"28067";"ON CLOUD RUN";"";"";"";"105000";"0";"40-44";"IMG-20260613-WA0055.jpg";"";"0";"";"Cali Pedidos"
"28068";"ON CLOUD RUN";"";"";"";"105000";"0";"40-44";"IMG-20260613-WA0056.jpg";"";"0";"";"Cali Pedidos"
"28069";"ON CLOUD RUN";"";"";"";"105000";"0";"36-40";"IMG-20260613-WA0057.jpg";"";"0";"";"Cali Pedidos"
"28070";"ADIDAS TERREX";"";"";"";"105000";"0";"40-44";"IMG-20260613-WA0058.jpg";"";"0";"";"Cali Pedidos"
"28071";"ADIDAS TERREX";"";"";"";"105000";"0";"40-44";"IMG-20260613-WA0059.jpg";"";"0";"";"Cali Pedidos"
"28072";"ADIDAS TERREX";"";"";"";"105000";"0";"40-44";"IMG-20260613-WA0060.jpg";"";"0";"";"Cali Pedidos"
"28073";"ADIDAS SUPERNOVA";"";"";"";"100000";"0";"40-44";"IMG-20260613-WA0061.jpg";"";"0";"";"Cali Pedidos"
"28074";"ADIDAS SUPERNOVA";"";"";"";"100000";"0";"36-40";"IMG-20260613-WA0062.jpg";"";"0";"";"Cali Pedidos"
"28075";"ADIDAS SUPERNOVA";"";"";"";"100000";"0";"40-44";"IMG-20260613-WA0063.jpg";"";"0";"";"Cali Pedidos"
"28076";"ADIDAS SUPERNOVA";"";"";"";"100000";"0";"36-40";"IMG-20260613-WA0064.jpg";"";"0";"";"Cali Pedidos"
"28077";"ADIDAS MCLAREN";"";"";"";"105000";"0";"36-40";"IMG-20260613-WA0065.jpg";"";"0";"";"Cali Pedidos"
"28078";"ADIDAS BADBO";"";"";"";"110000";"0";"40-44";"IMG-20260613-WA0066.jpg";"";"0";"";"Cali Pedidos"
"28079";"ADIDAS BADBO";"";"";"";"110000";"0";"40-44";"IMG-20260613-WA0067.jpg";"";"0";"";"Cali Pedidos"
"28080";"NEW B FRESH FOAM X";"";"";"";"105000";"0";"40-44";"IMG-20260613-WA0068.jpg";"";"0";"";"Cali Pedidos"
"28081";"NEW B FRESH FOAM X";"";"";"";"105000";"0";"36-44";"IMG-20260613-WA0069.jpg";"";"0";"";"Cali Pedidos"
"28082";"NEW B FRESH FOAM HIERRO";"";"";"";"105000";"0";"36-40";"IMG-20260613-WA0070.jpg";"";"0";"";"Cali Pedidos"
"28083";"NEW B FRESH FOAM HIERRO";"";"";"";"105000";"0";"36-40";"IMG-20260613-WA0071.jpg";"";"0";"";"Cali Pedidos"
"28084";"NIKE TRAIL";"";"";"";"100000";"0";"36-40";"IMG-20260613-WA0072.jpg";"";"0";"";"Cali Pedidos"
"28085";"NEW B FRESH FOAM HIERRO";"";"";"";"105000";"0";"40-45";"IMG-20260613-WA0073.jpg";"";"0";"";"Cali Pedidos"
"28086";"NIKE SB HOMBRE $90.000";"";"Hombre";"";"90000";"0";"656";"IMG-20260613-WA0449.jpg";"";"0";"";"Cali Pedidos"
"28087";"NIKE SB HOMBRE $90.000";"";"Hombre";"";"90000";"0";"657";"IMG-20260613-WA0451.jpg";"";"0";"";"Cali Pedidos"
"28088";"NIKE SB HOMBRE $90.000";"";"Hombre";"";"90000";"0";"095";"IMG-20260613-WA0453.jpg";"";"0";"";"Cali Pedidos"
"28089";"NIKE SB HOMBRE $85.000";"";"Hombre";"";"85000";"0";"328";"IMG-20260613-WA0454.jpg";"";"0";"";"Cali Pedidos"
"28090";"NIKE SB HOMBRE Y DAMA $90.000";"";"Mujer";"";"90000";"0";"1271";"IMG-20260613-WA0450.jpg";"";"0";"";"Cali Pedidos"
"28091";"NIKE SB HOMBRE Y DAMA $90.000";"";"Mujer";"";"90000";"0";"689";"IMG-20260613-WA0455.jpg";"";"0";"";"Cali Pedidos"
"28092";"JORDAN R1 HOMBRE $85.000";"";"Hombre";"";"85000";"0";"768";"IMG-20260613-WA0457.jpg";"";"0";"";"Cali Pedidos"
"28093";"JORDAN R1 HOMBRE $85.000";"";"Hombre";"";"85000";"0";"1202";"IMG-20260613-WA0452.jpg";"";"0";"";"Cali Pedidos"
"28094";"JORDAN R1 HOMBRE $85.000";"";"Hombre";"";"85000";"0";"1203";"IMG-20260613-WA0456.jpg";"";"0";"";"Cali Pedidos"
"28095";"NIKE AF1 X CHROME HEARTS";"";"";"";"105000";"0";"40-44";"IMG-20260604-WA1784.jpg";"";"0";"";"SUMBAWA"
"28096";"NIKE AF1 LOUIS VUITTON";"";"";"";"105000";"0";"40-44";"IMG-20260604-WA1785.jpg";"";"0";"";"SUMBAWA"
"28097";"NIKE AF1 VICTORY";"";"";"";"100000";"0";"40-44";"IMG-20260604-WA1783.jpg";"";"0";"";"SUMBAWA"
"28098";"NIKE AF1 LAKERS";"";"";"";"90000";"0";"40-44";"IMG-20260605-WA0376.jpg";"";"0";"";"SUMBAWA"
"28099";"NIKE AF1";"";"";"";"95000";"0";"40-44";"IMG-20260604-WA1782.jpg";"";"0";"";"SUMBAWA"
"28100";"NIKE AF1 KOBE";"";"";"";"105000";"0";"40-44";"IMG-20260604-WA1780.jpg";"";"0";"";"SUMBAWA"
"28101";"producto_28101";"";"";"";"0";"0";"";"IMG-20260605-WA0379.jpg";"";"0";"";"SUMBAWA"
"28102";"NIKE AF1 KOBE";"";"";"";"105000";"0";"40-44";"IMG-20260604-WA1781.jpg";"";"0";"";"SUMBAWA"
"28103";"NIKE AF1 UNFTD";"";"";"";"95000";"0";"40-44";"IMG-20260604-WA1779.jpg";"";"0";"";"SUMBAWA"
"28104";"NIKE AF1 SUPREME";"";"";"";"105000";"0";"40-44";"IMG-20260604-WA1778.jpg";"";"0";"";"SUMBAWA"
"28105";"NIKE AF1 MAMBA";"";"";"";"105000";"0";"40-44";"IMG-20260604-WA1777.jpg";"";"0";"";"SUMBAWA"
"28106";"PROMOCIONES ACTUALIZADAS";"";"";"";"0";"0";"40";"IMG-20260615-WA0031.jpg";"";"0";"";"SUMBAWA"
"28107";"PROMOCIONES ACTUALIZADAS";"";"";"";"0";"0";"50";"IMG-20260615-WA0033.jpg";"";"0";"";"SUMBAWA"
"28108";"PROMOCIONES ACTUALIZADAS";"";"";"";"0";"0";"50";"IMG-20260615-WA0032.jpg";"";"0";"";"SUMBAWA"
"28109";"LE COQ SPORTIF";"";"";"2986";"0";"0";"40";"IMG-20260615-WA0034.jpg";"";"0";"";"SUMBAWA"
"28110";"LACOSTE SPIN";"";"";"2996";"0";"0";"40";"IMG-20260615-WA0035.jpg";"";"0";"NO CAMBIO NO GARANTIA";"SUMBAWA"
"28111";"TIMBERLAND MOTION";"";"";"3008";"0";"0";"40";"IMG-20260527-WA0027.jpg";"";"0";"NO CAMBIO NO GARANTIA";"SUMBAWA"
"28112";"NIKE STREAKFLY";"";"";"3100";"0";"0";"40";"IMG-20260615-WA0036.jpg";"";"0";"";"SUMBAWA"
"28113";"NIKE COMFORT";"";"";"3080";"0";"0";"36-44";"IMG-20260527-WA0050.jpg";"";"0";"NO CAMBIO NO GARANTIA";"SUMBAWA"
"28114";"JORDAN R1 TRAVIS";"";"";"3131";"0";"0";"40-43";"IMG-20260615-WA0039.jpg";"";"0";"";"SUMBAWA"
"28115";"ADIDAS WATER";"";"";"3037";"0";"0";"40-43";"IMG-20260518-WA0075.jpg";"";"0";"";"SUMBAWA"
"28116";"LACOSTE AUDYSSOR";"";"";"2991";"0";"0";"40";"IMG-20260615-WA0040.jpg";"";"0";"";"SUMBAWA"
"28117";"TIMBERLAND MOTION";"";"";"3090";"0";"0";"40-43";"IMG-20260612-WA1642.jpg";"";"0";"";"SUMBAWA"
"28118";"LACOSTE L003";"";"";"3111";"0";"0";"40-44";"IMG-20260612-WA1605.jpg";"";"0";"";"SUMBAWA"
